Kuwait,"Kuwait
<size=60%>British
protectorate</size> ",,,,,,,,,,,
Trucial States,"Trucial Oman
<size=60%>British
protectorate</size> ",,,,,,,,,,,
Yemen,Yemen,,,,,,,,,,,
Aden Protectorate,"Aden Protectorate
<size=60%>British protectorate</size>",,,,,,,,,,,
Imamate of Oman,"Imamate of 
Oman",,,,,,,,,,,
Qatar,"Qatar
<size=60%>British
protectorate</size>",,,,,,,,,,,
Muscat,"Muscat & Oman
<size=60%>British protectorate</size>",,,,,,,,,,,
Australia,"Australia
<size=60%>British dominion</size>",,,,,,,,,,,
New Zealand,"New Zealand
<size=60%>British dominion</size>",,,,,,,,,,,
Japan,Japan,,,,,,,,,,,
Taiwan,"Taiwan
<size=60%>Japanese colony</size>",,,,,,,,,,,
India,"British India
<size=60%>British administration</size> ",,,,,,,,,,,
Ceylon,"Ceylon
<size=60%>British colony</size> ",,,,,,,,,,,
Nepal,Nepal,,,,,,,,,,,
Tibet,Tibet,,,,,,,,,,,
Bhutan,"Bhutan
<size=60%>British protectorate</size>",,,,,,,,,,,
French Indochina,"French
Indochina
<size=60%>French protectorate</size> ",,,,,,,,,,,
Thailand,Thailand,,,,,,,,,,,
Philippines,Philippines,,,,,,,,,,,
Korea,Korea,,,,,,,,,,,
New Guinea,New Guinea,,,,,,,,,,,
Afghanistan,Afghanistan,,,,,,,,,,,
Mongolia,Mongolia,,,,,,,,,,,
Manchuria,Manchuria,,,,,,,,,,,
Malaya,"Malaya
<size=60%>British protectorate</size>",,,,,,,,,,,
Dutch East Indies,"Dutch East Indies
<size=60%>Dutch colony</size>",,,,,,,,,,,
Burma,"Burma
<size=60%>British colony</size>",,,,,,,,,,,
Sierra Leone,"Sierra Leone
<size=60%>British colony</size> ",,,,,,,,,,,
China,China,,,,,,,,,,,
Sahara,"Sahara
<size=60%>Spanish possession</size>",,,,,,,,,,,
Liberia,Liberia,,,,,,,,,,,
Madagascar,"Madagascar
<size=60%>French colony</size> ",,,,,,,,,,,
Madagascar Vichy,"Madagascar
<size=60%>Vichy French colony</size> ",,,,,,,,,,,
Madagascar Free France,"Madagascar
<size=60%>Free French colony</size> ",,,,,,,,,,,
Nyasaland,"Nyasaland
<size=60%>British protectorate</size> ",,,,,,,,,,,
Nigeria,"Nigeria
<size=60%>British colony</size> ",,,,,,,,,,,
Cape Verde,"Cape Verde
<size=60%>Portuguese colony</size>",,,,,,,,,,,
Gambia,"Gambia
<size=60%>British colony</size> ",,,,,,,,,,,
Portuguese Guinea,"Portuguese
Guinea
<size=60%>Portuguese colony</size>",,,,,,,,,,,
Spanish Guinea ,"Spanish 
Guinea
<size=60%>Spanish colony</size>",,,,,,,,,,,
Gold Coast,"Gold Coast
<size=60%>British colony</size>",,,,,,,,,,,
Togo,"Togo
<size=60%>French
mandate</size>",,,,,,,,,,,
Togo Vichy,"Togo
<size=60%>Vichy French 
mandate</size>",,,,,,,,,,,
Togo Free France,"Togo
<size=60%>Free French
mandate</size>",,,,,,,,,,,
Cameroun,"Cameroun
<size=60%>French mandate</size> ",,,,,,,,,,,
Cameroun Vichy,"Cameroun
<size=60%>Vichy French mandate</size> ",,,,,,,,,,,
Cameroun Free France,"Cameroun
<size=60%>Free French mandate</size> ",,,,,,,,,,,
French West Africa,"French West Africa
<size=60%>French colonial federation</size>",,,,,,,,,,,
French West Africa Vichy,"French West Africa
<size=60%>Vichy French colonial federation</size>",,,,,,,,,,,
French West Africa Free France,"French West Africa
<size=60%>Free French colonial federation</size>",,,,,,,,,,,
French Equatorial Africa,"French Equatorial Africa
<size=60%>French colonial federation</size>",,,,,,,,,,,
French Equatorial Africa Vichy,"French Equatorial Africa
<size=60%>Vichy French colonial federation</size>",,,,,,,,,,,
French Equatorial Africa Free France,"French Equatorial Africa
<size=60%>Free French colonial federation</size>",,,,,,,,,,,
Angola,"Angola
<size=60%>Portuguese colony</size>",,,,,,,,,,,
Belgian Congo,"Belgian Congo
<size=60%>Belgian colony</size>",,,,,,,,,,,
Belgian Congo Free Belgian,"Belgian Congo
<size=60%>Free Belgian administration</size>",,,,,,,,,,,
Uganda,"Uganda
<size=60%>British protectorate</size> ",,,,,,,,,,,
Ruanda-Urundi,"Ruanda-Urundi
<size=60%>Belgian mandate</size> ",,,,,,,,,,,
Ruanda-Urundi Free Belgian,"Ruanda-Urundi
<size=60%>Free Belgian administration</size>",,,,,,,,,,,
British Somaliland,"British Somaliland
<size=60%>British protectorate</size> ",,,,,,,,,,,
British Somaliland Occupied Italy,"British Somaliland
<size=60%>Occupied by Italy</size> ",,,,,,,,,,,
French Somaliland,"French
Somaliland
<size=60%>French possession</size>",,,,,,,,,,,
French Somaliland Vichy,"French
Somaliland
<size=60%>Vichy French
possession</size>",,,,,,,,,,,
French Somaliland Free France,"French
Somaliland
<size=60%>Free French
possession</size>",,,,,,,,,,,
Mozambique,"Mozambique
<size=60%>Portuguese colony</size>",,,,,,,,,,,
South-West Africa,"South-West Africa
<size=60%>South African mandate</size>",,,,,,,,,,,
Union of South Africa,"Union of 
South Africa
<size=60%>British dominion</size>",,,,,,,,,,,
Bechuanaland,"Bechuanaland
<size=60%>British High Commission Territory</size>",,,,,,,,,,,
Southern Rhodesia,"Southern Rhodesia
<size=60%>British Self-governing colony</size>",,,,,,,,,,,
Northern Rhodesia,"Northern Rhodesia
<size=60%>British protectorate</size>",,,,,,,,,,,
Italian East Africa,"Italian East Africa
<size=60%>Italian possession</size> ",,,,,,,,,,,
Tanganyika,"Tanganyika
<size=60%>British mandate</size>",,,,,,,,,,,
Kenya,"Kenya
<size=60%>British possession</size> ",,,,,,,,,,,
Cuba,Cuba,,,,,,,,,,,
Mexico,Mexico,,,,,,,,,,,
Colombia,Colombia,,,,,,,,,,,
Venezuela,Venezuela,,,,,,,,,,,
Brazil,Brazil,,,,,,,,,,,
Argentina,Argentina,,,,,,,,,,,
Uruguay,Uruguay,,,,,,,,,,,
Ecuador,Ecuador,,,,,,,,,,,
Peru,Peru,,,,,,,,,,,
Bolivia,Bolivia,,,,,,,,,,,
Paraguay,Paraguay,,,,,,,,,,,
Chile,Chile,,,,,,,,,,,
Haiti,Haiti,,,,,,,,,,,
Panama,Panama,,,,,,,,,,,
Costa Rica,Costa Rica,,,,,,,,,,,
Nicaragua,Nicaragua,,,,,,,,,,,
Honduras,Honduras,,,,,,,,,,,
El Salvador ,El Salvador ,,,,,,,,,,,
Guatemala,Guatemala,,,,,,,,,,,
Dominican Republic,"Dominican
Republic",,,,,,,,,,,
Jamaica,Jamaica,,,,,,,,,,,
Puerto Rico,Puerto Rico,,,,,,,,,,,
Hawaii,Hawaii,,,,,,,,,,,
Black Sea ,Black Sea ,,,,,,,,,,,
Red Sea,Red Sea,,,,,,,,,,,
Sea of Okhotsk,Sea of ??Okhotsk,,,,,,,,,,,
Sea of Japan,Sea of Japan,,,,,,,,,,,
Bering Sea ,Bering Sea ,,,,,,,,,,,
Indian Ocean,Indian Ocean,,,,,,,,,,,
Arabian Sea,Arabian Sea,,,,,,,,,,,
Caspian Sea,Caspian Sea,,,,,,,,,,,
Bay of Bengal,Bay of Bengal,,,,,,,,,,,
North Pacific Ocean,"North Pacific 
Ocean",,,,,,,,,,,
South Pacific Ocean,"South Pacific 
Ocean",,,,,,,,,,,
Arctic Ocean,Arctic Ocean,,,,,,,,,,,
Barents Sea,Barents Sea,,,,,,,,,,,
Kara Sea,Kara Sea,,,,,,,,,,,
Balearic Sea,Balearic Sea,,,,,,,,,,,
Alboran Sea,Alboran Sea,,,,,,,,,,,
Tyrrhenian Sea,Tyrrhenian Sea,,,,,,,,,,,
Adriatic Sea,Adriatic Sea,,,,,,,,,,,
Ionian Sea,Ionian Sea,,,,,,,,,,,
Aegean Sea,Aegean Sea,,,,,,,,,,,
Gulf of Mexico,Gulf of Mexico,,,,,,,,,,,
Gulf of Guinea,Gulf of Guinea,,,,,,,,,,,
Gulf of Bothnia,Gulf of Bothnia,,,,,,,,,,,
Gulf of Finland,Gulf of Finland,,,,,,,,,,,
Gulf of Riga,"Gulf of 
Riga",,,,,,,,,,,
Persian Gulf,Persian Gulf,,,,,,,,,,,
Gulf of Oman,Gulf of Oman,,,,,,,,,,,
Gulf of Aden,Gulf of Aden,,,,,,,,,,,
South China Sea,South China Sea,,,,,,,,,,,
East China Sea,East China Sea,,,,,,,,,,,
Philippine Sea,Philippine Sea,,,,,,,,,,,
Coral Sea,Coral Sea,,,,,,,,,,,
Timor Sea,Timor Sea,,,,,,,,,,,
Celebes Sea,Celebes Sea,,,,,,,,,,,
Banda Sea,Banda Sea,,,,,,,,,,,
Sulu Sea,Sulu Sea,,,,,,,,,,,
Yellow Sea,Yellow Sea,,,,,,,,,,,
Arafura Sea,Arafura Sea,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Operation Overlord,"Operation
Overlord",,,,,,,,,,,
Siegfried Line Campaign,"Siegfried Line
Campaign",,,,,,,,,,,
Ardennes Counteroffensive,"Ardennes
Counteroffensive",,,,,,,,,,,
Western Allied Invasion of Germany,"Invasion of
Germany",,,,,,,,,,,
Operation Barbarossa,"Operation
Barbarossa",,,,,,,,,,,
The Blitz,The Blitz,,,,,,,,,,,
Operation Torch,"Operation
Torch",,,,,,,,,,,
Tunisian Campaign,"Tunisian
Campaign",,,,,,,,,,,
East African Campaign,"East African
Campaign",,,,,,,,,,,
Italian Campaign,"Italian
Campaign",,,,,,,,,,,
Battle of Stalingrad,"Battle of
Stalingrad",,,,,,,,,,,
Red Army Offensive,"Red Army
Offensive",,,,,,,,,,,
Vistula-Oder Offensive,"Vistula-Oder
Offensive",,,,,,,,,,,
Battle of Berlin,"Battle of
Berlin",,,,,,,,,,,
Battle of Kursk,"Battle of
Kursk",,,,,,,,,,,
,,,,,,,,,,,,
Bay of Biscay,Bay of Biscay,,,,,,,,,,,
English Channel,English Channel,,,,,,,,,,,
Celtic Sea,Celtic Sea,,,,,,,,,,,
North Sea,North Sea,,,,,,,,,,,
Skagerrak,Skagerrak,,,,,,,,,,,
Baltic Sea,Baltic Sea,,,,,,,,,,,
Norwegian Sea,Norwegian Sea,,,,,,,,,,,
North Atlantic Ocean,"North 
Atlantic Ocean",,,,,,,,,,,
South Atlantic Ocean,"South 
Atlantic Ocean",,,,,,,,,,,
Mediterranean Sea,Mediterranean Sea,,,,,,,,,,,
Caribbean Sea,Caribbean Sea,,,,,,,,,,,
Labrador Sea,Labrador Sea,,,,,,,,,,,
Davis Strait,Davis Strait,,,,,,,,,,,
Baffin Bay,Baffin Bay,,,,,,,,,,,
Danemark Strait,Danemark Strait,,,,,,,,,,,
Greenland Sea,Greenland Sea,,,,,,,,,,,
Battle of the Atlantic II,The Black Pit,,,,,,,,,,,
Battle of the Atlantic,Battle of the Atlantic,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
