Temporal Antialiasing Normal,Medium
Temporal Antialiasing Intense,Soft
Filtering Trilinear,Trilinear
Filtering Defaults,Defaults
Filtering Anisotropic,Anisotropic
Speaker Default,Default
Speaker Mono,Mono
Speaker Stereo,Stereo
Speaker 4 Speakers,4 speakers
Speaker 5 Speakers,5 speakers
Speaker 5.1 Speakers,5.1 surround
Speaker 7.1 Speakers,7.1 surround
Resolution Change Confirmation,Would you like to keep this resolution?
Resolution Change Countdown,({0:0} seconds to confirm)
No,No
Yes,Yes
Post-processing,Post-processing
Scroll Map at Edges,Scroll map at edges
Invert Mouse,Invert mouse
Invert Mouse (Periscope),Invert Mouse (Periscope)
Rotation Sensitivity,Rotation sensitivity
Error Reporting,Error reporting
UI Scale,UI Scale
Scroll View Modes,Scroll view modes
Controller,Controller
Controller Mouse,Mouse and keyboard
Realistic Nights,Darker nights
Realistic Nights Tooltip,"Use this option to make nights darker. Use of flashlight and searchlight may be mandatory in exterior areas.

This setting doesn't affect a sight range of AI. Other ships always behave like the nights would be darker."
Realistic Bilge,Realistic bilge
Realistic Bilge Tooltip,"Use this option to ensure realistic water accumulation in the bilges from sources like the holes for propellers, periscopes located in the hull or rain coming through an open hatch in the conning tower."
Expanded Schedules,Expanded sailor management
Expanded Schedules Tooltip,"This setting adds new configurable jobs for sailors on the schedules screen: work at diving planes station, helmsman station and cleaner's work. All of these jobs have underlying mechanics.

Otherwise, these jobs are not configurable and are purely aesthetical without meaning anything for the gameplay."
Realistic Earth Curvature,Realistic Earth curvature
Realistic Earth Curvature Tooltip,"This option ensures that scenes will be rendered on a spherical Earth instead on a flat plane like it's done usually. This option may have minor performance impact.

Note: Some ships may be occluded by the horizon unless higher observation point will be used."
Manual Item Delivery,Manual item delivery
Manual Item Delivery Tooltip,If you use this option you will have to manually equip an engineer with a spare part and a medic with the first-aid kit.
Units,Units
Units Tooltip,Specify a set of measurement units used to display numeric values in the game.
Collision damage,Collision damage
Collision damage Tooltip,This setting makes ships receive damage from collisions with other ships and the other obstacles. It adds more difficulty to the game and may make ramming a dangerous strategy of NPC ships against your submarine.
Hardcore aiming mode,Hardcore aiming mode
Hardcore aiming mode Tooltip,"While having this setting enabled, your crew will never compute torpedo solutions for you. It will be necessary to do this manually in all cases."
Hide detection hint,Hide detection hint
Hide detection hint Tooltip,This settings disables detailed information about your ship visibility to enemy. It's strongly recommended to keep this setting disabled until you become more familar with the game.
Metric,"Metric (km, km/h)"
MetricWithKnots,"Mixed (km, knots)"
Imperial,"Nautical (nmi, knots)"
New Campaign,Realism settings
Level of Detail,Level of detail
LOD Simple,Low
LOD Good,High
LOD Very Good,Very high
LOD Extreme,Full
Save Mode,Save mode
Save Mode Tooltip,"Specify, if you would like to play with some restrictions to the save system."
Saves Normal,Normal
Saves Ports Only,Ports only
Gameplay Mode,Gameplay mode
Gameplay Mode Tooltip,"Specify, if you would like to play with some restrictions to available view modes."
Gameplay Normal,Normal (Recommended)
Gameplay FPP Only,First person only
Display Hints,Display hints
Voice Language,Audio language
Voice Language Tooltip,Characters will speak in this language.
Voice German,German
Voice English,English
Keyboard Hint,"Select Key / ""del"" to clear / ""esc"" to leave"
Press Any Key Label,Press any key to continue...
Menu Style,Menu style
Menu Automatic,Automatic
Menu Static,Static
Menu Animated,Animated
Last Game State Info,"<color=#ccc>Date:</color> {0}
<color=#ccc>Skipper:</color> {1}
<color=#ccc>Mission:</color> {2}"
Travel System,Travel system
Dynamic,Dynamic
Realistic,Realistic
Travel System Tooltip,"Choose how a long distance travel will work in the game.

Dynamic: Movement on the map will be faster and will resolve in a similar time scale as battles.

Realistic: Movement on the map will be as in the real life. Very high time compression tools will be available to skip the time needed for travel."
Coordinates style,Coordinates style
Coordinates style Tooltip,"Choose a display mode for coordinates displayed in the game.

Classic: Coordinates will be presented in degrees, minutes and sometimes seconds, for example 46 09 33N 1 09 06W.

Decimal: Coordinates will be displayed with a decimal fraction instead, for example 46.1591N 1.1517W."
Classic,Classic
Decimal,Decimal
Preset,Preset: {0}
Entertaining,Entertaining
Balanced,Balanced
Realism Label,Realism: 
Realism X,{0}%
Cache Size,Cache Size
Map Skin,Map Skin
Map Default,Colourful
Map Desaturated,Desaturated
Map Semi-Realistic,Semi-Realistic
Map Paper-Like,Paper-Like (Default)
Economic difficulty,Economic difficulty
Economic difficulty Tooltip,"This setting controls how expensive and sparse various goods are. The higher this setting is, the harder it is to keep a positive balance during resource shortages during the later stages of the war."
Economic Easy,Easy
Economic Medium,Medium
Economic Hard,Hard
AI difficulty,AI difficulty
AI difficulty Tooltip,This setting determines how realistic or how experienced enemy crews will seem to be. It directly translates to the combat difficulty of the game.
AI Easy,Easy
AI Medium,Medium
AI Hard,Hard
Tutorial,Tutorial introduction
Tutorial Tooltip,"This setting determines, if the campaign will start with an introduction to the tutorial missions."
Max Frame Rate,Max Frame Rate
Max Frame Rate Warning,This option is unavailable because Vertical sync is turned on
Autosave after docking,Autosave after docking
Autosave on exit,Autosave on exit
Autosave time,Autosave time interval (out of combat)
Autosave time off,Off
Autosave time 15,15 minutes
Autosave time 30,30 minutes
Autosave time 60,60 minutes
Number of autosaves,Number of autosaves
Food management,Food management
Food management Tooltip,"This setting determines, if food management should be present in the game.

If it's disabled, crew won't require food to function and it won't be possible to restock food in the warehouse."
Torpedo flaws,Torpedo flaws
Torpedo flaws Tooltip,"This setting determines how realistic should be the torpedo flaws in the game.

Realistic: Torpedo pistols have flaws that match the historic records. If a torpedo with an impact pistol hits the target at a high angle, it most likely won't detonate.

Semi-realistic: Perfect impact angle is rewarded with an almost guaranteed detonation of a torpedo, although sub-optimal hits usually end up in a detonation too - especially if the torpedo is properly maintainted by a trained officer.

Basic: Torpedo impact angle is ignored and torpedo duds are determined using a flat chance. This chance is very close to zero, if torpedo is properly maintained by a trained officer."
Torpedo Realistic,Realistic
Torpedo Semi-realistic,Semi-realistic
Torpedo Basic,Basic
Discipline management difficulty,Morale management difficulty
Discipline management difficulty Tooltip,"This difficulty setting determines how hard it is to manage crew's discipline over long periods of time, as well as to keep crew's stress at bay during combat situations.

At high difficulty levels, your initial crew may not handle stress well enough. Take notes and remove sailors that are not fit for the service until you end up with a crew of sea wolves."
Auto mission completion,Mission completion
Auto mission completion Tooltip,"If automatic mission completion is enabled, game will offer an automated return back to the port after mission objectives are complete.

It's recommended to use this setting, unless you are looking for a comprehensive experience of submarine commandeering."
Auto mission completion Yes,Automatic
Auto mission completion Yes (Fuel),"Automatic (only, if enough fuel) "
Auto mission completion No,Manual in port
Damage difficulty,Damage difficulty
Damage difficulty Tooltip,"This setting determines how hard to manage are potential leaks on your ship. The higher this difficulty level is set, the larger the simulated hull breaches will be on average after receiving damage.

Note: If you pursue realism we recommend the average setting, but each of these settings may potentially be the realistic one. There is limited data to support any claim as there is an observational bias towards the survivable damage on the photographies and in the written records."
,
/CampaignSetupUI,English
Back,Back
Next,Next
Difficulty,Difficulty: {0}
Difficulty Normal,<color=green>Normal</color>
Difficulty High,<color=yellow>Hard</color>
Difficulty VeryHigh,<color=red>Very hard</color>
Port,Port: <color=#ac9968>{0}</color>
Date,Date: <color=#ac9968>{0}</color>
Unit Type,Unit type: <color=#ac9968>{0}</color>
Unit Name,Name: <color=#ac9968>{0}</color>
Unit Flotilla,Flotilla: <color=#ac9968>{0}</color>
1st U-boat Flotilla,1st U-boat Flotilla
7th U-boat Flotilla,7th U-boat Flotilla
9th U-boat Flotilla,9th U-boat Flotilla
11th U-boat Flotilla,11th U-boat Flotilla
29th U-boat Flotilla,29th U-boat Flotilla
Tutorial - Name,Tutorial
Tutorial - Title,Tutorial
Tutorial - Description,"Learn the basics of the game. If you are new to UBOAT, it's strongly recommended to play this scenario first to learn the most important game mechanics.

Warning: This scenario will be removed during next months and replaced with a different approach of educating new players about the game."
U-96 - Title,U-96
U-96 - Description,"One of the first Type VIIC u-boats, U-96, launches in Kiel. Leaving its home port behind, it completes a very successful patrol on the Atlantic, during which it manages to sink 7 Allied freighters in two convoys. U-96 now arrives at French ports on the Atlantic, from which its crew will continue to operate.  Amongst themselves skippers call the current period the ""Happy Times"", because the Allies don't seem to be ready for the fight against modern u-boats."
U-552 - Title,Red Devil
U-552 - Description,"A young and brave skipper takes U-552 under command after losing his previous ship. After two months of training and integration, the crew are ready for their first orders. They have just taken a 3 day trip through Kiel Canal to the new base port. All that is left is to replenish resources and head to sea."
U-564 - Title,U-564
U-564 - Description,"After leaving Hamburg shipyard and two months of training, U-564 is ready to join the Battle of the Atlantic."
U-559 - Title,Mare Nostrum
U-559 - Description,"Having already served half a year on the Atlantic and scoring its first successes, U-559 follows headquarters' orders and crosses through Gibraltar into the Mediterranean Sea where it joins 29th flotilla in La Spezia."
U-606 - Title,Battle of Arctic
U-606 - Description,"After leaving the Baltic Sea, U-606 joins the forces stationed in the north of Norway, whose targets are allied convoys bound for the USSR."
U-764 - Title,U-764 joins Battle of Atlantic
U-764 - Description,"After half a year of training in the Baltic from Danzig (Gda?sk), U-764 arrives at French ports on the Atlantic coast. On the way there they manage to shoot down an Allied bomber and their skipper claims that despite many errors, his crew are toughened and ready to face the hard battle being fought on the Atlantic."
U-984 - Title,U-984 joins Battle of Atlantic
U-984 - Description,"During the first patrol of U-984, during which the crew lost one member, it managed to sink a british destroyer. Now after reaching French ports, it becomes one of the first u-boats to be fitted with a snorkel,  a device that allows for prolonged runs under water. The situation on the Atlantic though is getting worse each day."
U-1055 - Title,U-1055
U-1055 - Description,Good fortune reversed. The Reich has lost most of the conquered territories to the west and to the east. Allied bombardments continue and the situation is getting worse when U-1055 leaves for a first patrol on Atlantic from a Norwegian port. What dangers may lie ahead for this crew in such hard times?
Tutorial Warning,"<align=center><size=40><line-height=50%><b>Warning</b></size>

<align=left><line-height=100%>This scenario is considered obsolete as it doesn't explain many latest game mechanics, while many aspects explained in it are no longer worth learning at the beginning due to more developed automation in the game. It's going to be replaced with a different approach of educating new players about the game in the next months.

While it still works, there are more up to date tutorials made by the community on YouTube, Fandom Wiki and Steam articles section. Our recommendation is to use them instead until a new tutorial is complete.

Thank you for the attention."
Training Missions Warning,Training missions are not available in this area!
Crew Management Settings Header,How involved in crew management do you wish to be?
Primary,Minimal
Primary Description,Crew management will be mostly automated.
Complex,Intermediate
Complex Description,"The crew will require your attention, but some corners will be cut to remove complexity."
Expert,Expert
Expert Description,"Like real people, your crew will require some attention in order for them to do their best, but  you can reap extra benefits if you address their needs."
Realism Settings Header,How realistic a simulation do you prefer?
Entertainment,Entertaining
Entertainment Description,The game will be adjusted for optimal entertainment. Simulation aspects that don't contribute to an interesting story won't get in your way.
Balanced,Balanced
Balanced Description,"Realism and simulation aspects will be fine-tuned to make them challenging, but not excessively so."
Full realism,Hardcore
Full realism Description,You know everything about submarine warfare and want very demanding gameplay.
Select,Select
Skip,Skip
Loading,Loading...
Summary,Summary:
Main Settings,Main Settings
Advanced Settings,Advanced Settings - Summary:
,
/EscapeMenuUI,English
Resume,Resume
Save Game,Save game
Load Game,Load game
Settings,Settings
Quit to Menu,Quit to menu
Quit,Quit
QuitConfirmation,Are you sure you want to quit the game?
QuitYes,Yes
QuitNo,No
,
,
/AreaEnterNotificationUI,English
Entering Area,Entering area…
Loading,Loading…
,
,
/HintUI,English
Close,Close
Skip Tutorials,Skip tutorials
,
,
/LoadingUI,English
Loading,Loading…
Hint 1,"<space=55>The ocean is a vast and empty space, hence encountering other ships by a pure luck is very rare. Always use hydrophone to find your prey."
Hint 2,"<space=55>If the discipline on your boat is low, use it as an opportunity to identify sea wolves among your crew and those who are not fit for the service."
Hint 3,"<space=55>If you are ordered to patrol a square on the Atlantic, plot a patrol path with as much longditudinal movement as possible. All convoys cross the Atlantic from west to east or vice versa, so you will increase your chances of crossing the path of a convoy this way."
Hint 4,<space=55>Radiomen on Type VII u-boats are often well trained in first aid.
Hint 5,"<space=55>""The only thing that ever really frightened me during the war was the U-boat peril."" Winston Churchill"
Hint 6,<space=55>You can start tutorial missions by talking with the leading officer in any port.
Hint 7,"<space=55>Once a u-boat's presence is discovered, most captains of surface ships order active torpedo avoidance by following a zig-zagging course. It's much harder to hit such ships with a torpedo attack."
Hint 8,"<space=55>Aircraft are extremely dangerous to u-boats. Don't fight them, unless you have to."
Hint 9,<space=55>Your crew will appreciate some variety in food rations.
Hint 10,"<space=55>Your orders are to sink all ships that trade with the blockaded enemy ports. You can inspect ships that fly a neutral flag to find out where are they headed, if you are suspicious."
Hint 11,<space=55>Some ships may fly a false flag to avoid being torpedoed by u-boats. Carry out an inspection to see if you are dealing with such a situation.
Hint 12,"<space=55>If you lay your submarine on the seabed, enemy sonar will have a much harder time detecting you."
Hint 13,<space=55>Take some coffee with you to keep the officers awake during long engagements.
Hint 14,"<space=55>Type XIV u-boats are often called ""milk cows"". They serve as resupply ships for combat u-boats and will always welcome you with some fresh bread."
Hint 15,"<space=55>When trying to approach the enemy submerged, turn off all unnecessary devices. The enemy can hear them through the hydrophone and discover your location."
UHint 16,<space=55>The character assigned to the listening room operates the radar when the boat is surfaced and the hydrophone when submerged.
Hint 17,"<space=55>If the enemy ship does not want to sink, you can help it with the 88 mm gun mounted on the deck."
Hint 18,<space=55>Explosions of depth charges overwhelm enemy sonars for a short time. It's a window of opportunity for u-boats to escape the area.
Hint 19,<space=55> Searchlights reveal the position of a surface vessel to a greater extent than they increase its view range.
Hint 20,"<space=55>The pump is able to pump water from compartments other than the control room only at a shallow depth, due to resistance in the pipes."
Hint 21,<space=55>Remember to report ships that were sunk on your patrol. This is the only way to be credited for the sinking and receive a reward from high command.
Hint 22,"<space=55>If your boat is submerged at periscope depth during bad weather, consider sending an engineer to the depth steers station. He will prevent broaching and will make observation through periscopes easier by stabilizing the boat."
Hint 23,"<space=55>Enemy ships carry a limited number of depth charges. When they are exhausted, there is a good chance that they will withdraw from submarine hunting."
Hint 24,"<space=55>At greater depths there is a so-called shadow zone. Due to the acoustic layer above it, enemy vessels will find it much harder to detect your ship using hydrophone or sonar."
Hint 25,"<space=55>If the night is dark, consider turning on the red lighting inside your u-boat. Such light makes it easier for the eyes to adapt to the darkness. It will increase the sight range of your crew and will also make your screen brighter."
,
/IntroMovieUI,English
Label 1,"THOUSANDS OF YOUNG, BRAVE MEN ENLISTED IN THE KRIEGSMARINE ENTICED
BY ADVENTURE AND IDEOLOGY, MOTIVATED BY FAME AND MONEY."
Label 2,LESS THAN HALF OF THEM RETURNED HOME
Label 3,THEIR LIVES AND FIGHT BECAME LEGENDARY.
,
/ControlUI,English
Telegraph,Telegraph
Depth Meter,Depth meter
Rudder,Rudder
Map,Map
Journal,Journal
Pause,Pause
Time Compression x1,Time compression x1
Time Compression x4,Time compression x4
Time Compression x12,Time compression x12
Time Compression x48,Time compression x48
Time Compression x140,Time compression x140
Time Compression x1800,Time compression x1800
Time Compression x6500,Time compression x6500
Speed,Speed
Depth Preset - Surface,Surface the ship.
Depth Preset - Deck Awash,Deck awash.
Depth Preset - Periscope Depth,Periscope depth.
Depth Preset - Max Safe Depth,Crash dive to the maximum safe depth.
Depth Preset - Hydrophone Check,"Perform a routine check of the surroundings with the hydrophone that involves following steps:

1. Air compressors are disabled.
2. U-boat dives at 50 meters (or lower at shallow waters).
3. The most rested radioman goes to the hydrophone station.
4. Radioman is listening for screw sounds for 5 minutes.
5. U-boat goes back to the surface.
6. Air compressors are enabled to replenish lost compressed air in the process."
Undock Generic Blockade,Undocking is currently impossible.
Undock Take Assignment,Take an assignment from the officer in the port before leaving.
Undock Awaiting Objective,Certain mission objectives have to be fulfilled before undocking.
Undock Survivors On Board,"You have guests on your ship. Release them, by talking with the recruitment officer, before undocking."
Undock Officers Limit,You have too many officers aboard. Leave some of them on land before undocking.
Undock Missing Skipper,You can't undock without a skipper. Select one of your officers and promote him to a skipper on the character screen.
Undock Vacation,You can't undock while your crew is on a vacation.
Undock Load,Ordered equipment is being loaded onto your ship. Undocking is currently not possible.
Working Crew Tooltip Short,"Currently {0} of {1} sailors are on duty.
It has no effect on the discipline."
Working Crew Tooltip,"Currently {0} of {1} sailors are on duty. 
It drains discipline by <color=red>{2}</color>/min."
Order in progress,Order in progress...
,
/ContactsUI,English
Targets,Targets
Target - Hide Periscope,Hide periscope
Target - Raise Periscope,Raise periscope
Target - Auto,Collect information on all contacts.
Target - Clear,Hold fire.
Target - Ships,Fire at ships.
