Key,English
Fuel Usage Neutral,"<color=#777><sprite name=""pGear"">Allowed gear: {0}
<sprite name=""pFuel"">Fuel usage: normal
<sprite name=""pTime"">Order exec. time: normal"
Energy Usage Gain,"<sprite name=""pGear"">Allowed gear: {0}
<sprite name=""pEnergy"">Energy usage: -{1:0%}
<sprite name=""pTime"">Order exec. time: -{2:0%}"
Energy Usage Neutral,"<color=#777><sprite name=""pGear"">Allowed gear: {0}
<sprite name=""pEnergy"">Energy usage: normal
<sprite name=""pTime"">Order exec. time: normal"
Torpedo Loading Speed Gain,"<sprite name=""pTorpedo"">Loading speed: +{0:0%}"
Torpedo Loading Speed Neutral,"<color=#777><sprite name=""pTorpedo"">Loading speed: normal"
Torpedo Maintenance Speed Gain,"<sprite name=""pTorpedo"">Maintenance speed: +{0:0%}"
Torpedo Maintenance Speed Neutral,"<color=#777><sprite name=""pTorpedo"">Maintenance speed: normal"
Navigation Table Fuel Gain,"<sprite name=""pFuel"">Fuel usage: -{0:0%}
<sprite name=""pNavi"">Navigation quality: +{1:0%}"
Navigation Table Fuel Neutral,"<color=#777><sprite name=""pFuel"">Fuel usage: normal
<sprite name=""pNavi"">Navigation quality: normal"
Navigation Table Energy Gain,"<sprite name=""pEnergy"">Energy usage: -{0:0%}
<sprite name=""pNavi"">Navigation quality: +{1:0%}"
Navigation Table Energy Neutral,"<color=#777><sprite name=""pEnergy"">Energy usage: normal
<sprite name=""pNavi"">Navigation quality: normal"
Damage Control Gain,"<sprite name=""pDamageControl"">Damage risk: -{0:0%}
Sailors search for hidden damages"
Damage Control Neutral,"<color=#777><sprite name=""pDamageControl"">Damage risk: normal"
Command Gain,"<sprite name=""pCommand"">All tasks: +{0:0%}
<sprite name=""pStress"">Stress: -{1:0%}"
Command Neutral,"<color=#777><sprite name=""pCommand"">All tasks: normal
<sprite name=""pStress"">Stress: normal"
Hydrophone Range Gain,"<sprite name=""pHydrophone"">Hydrophone range: +{0:0%}"
Hydrophone Range Neutral,"<color=#777><sprite name=""pHydrophone"">Hydrophone range: normal"
