Key,English
Research FuMB 26 ?Tunis” Description,"Considering that enemy was often a few steps ahead of us in radar technology, this time, we should take the initiative and create a radar detector that would be able to detect radars operating on frequencies as small as 3 cm.

Our researchers claim that this advancement would also allow to greatly increase effective range of our new radar detector."
Research Accumulators I,Accumulators I
Research Accumulators I Description,There is ongoing research in Hanover that could potentially improve the effective capacity of accumulators on our u-boats. Presence of an experienced officer would greatly speed this research up.
Research Accumulators II,Accumulators II
Research Accumulators II Description,There is ongoing research in Hanover that could potentially improve the effective capacity of accumulators on our u-boats. Presence of an experienced officer would greatly speed this research up.
Research Accumulators III,Accumulators III
Research Accumulators III Description,There is ongoing research in Hanover that could potentially improve the effective capacity of accumulators on our u-boats. Presence of an experienced officer would greatly speed this research up.
Research Improved Toilets,Improved Toilets
Research Improved Toilets Description,"While our u-boats are impressively capable of staying at large depths for a long time, there is one nagging issue that often leads our crews to irrationally move out of the safe depth. This issue is our current toilet design as it's functional only at a small depth. There are many ways to address this issue, but it was neglected so far. Presence of a veteran officer that would explain the weight of this improvement would help to allocate more resources for developing better hydraulic systems that would work on a greater depth."
Research KDB,Hydrophone: KDB (T1)
Research KDB Description,"While our current GHG hydrophones are very effective and outmatch enemy technologies, they don't ensure full direction coverage for listening.

A group of engineers created a simple prototype device, that carries a set of microphones, able to rotate around one axis. It seems be a very promising project, but still needs work before being integrated on our u-boats."
Research GHG-Balkon,Hydrophone: GHG-Balkon (T2)
Research GHG-Balkon Description,"A group of our engineers suggested that our current GHG design may be improved by mounting the microphones on a dome attached to the bottom part of the hull. This solution would increase direction coverage of GHG microphones and as addition the extra space in dome would be able to hold more microphones, increasing precision of the whole system."
Research Turm I,Armoured Conning Towers (T1)
Research Turm I Description,"Aircraft cause larger losses to our u-boat forces with each passing month. While preferred way to deal with them is to dive, in practice there is sometimes no choice or time for that.

Our engineers have ideas how to improve anti-aircraft capabilities of our u-boats. Thanks to this research, we would create more armoured conning towers and also equip them with better AA guns."
Research Turm II,Armoured Conning Towers (T2)
Research Turm II Description,"Aircraft cause larger losses to our u-boat forces with each passing month. While preferred way to deal with them is to dive, in practice there is sometimes no choice or time for that.

Our engineers have ideas how to improve anti-aircraft capabilities of our u-boats. Thanks to this research, we would create more armoured conning towers and also equip them with better AA guns."
Research Turm III,Armoured Conning Towers (T3)
Research Turm III Description,"Aircrafts cause larger losses to our u-boat forces with each passing month. While preferred way to deal with them is to dive, in practice there is sometimes no choice or time for that.

Our engineers have ideas how to improve anti-aircraft capabilities of our u-boats. Thanks to this research, we would create more armoured conning towers and also equip them with better AA guns."
Research Turm IV,Armoured Conning Towers (T4)
Research Turm IV Description,"Aircraft cause larger losses to our u-boat forces with each passing month. While preferred way to deal with them is to dive, in practice there is sometimes no choice or time for that.

Our engineers have ideas how to improve anti-aircraft capabilities of our u-boats. Thanks to this research, we would create more armoured conning towers and also equip them with better AA guns."
Locate Military Storage - Bergen,Military stash
Locate Military Storage - Bergen Description,"Our intel suggests that the Norwegian navy has stashed a large quantities of ammunition near Bergen to prevent it from falling into our hands.

There are some leads that would let us narrow down its location."
Locate Military Storage - Bergen Rewards,"Investigation was successful. We located the stash.

Budget +{0}"
Locate Military Storage - Nantes,Military stash
Locate Military Storage - Nantes Description,Our intel suggests that the French navy has stashed a large quantities of ammunition near Nantes to prevent it from falling into our hands.There are some leads that would let us narrow down its location.
Locate Military Storage - Nantes Rewards,"Investigation was successful. We located the stash.

Budget +{0}"
Ammunition Factory I,Ammunition Production I
Ammunition Factory I Description,"Our ammunition production has to increase in order to match growing needs of the navy. There was a talk of increasing production output in Fahrenkrug Navy Arsenal, but things progress slowly and motivated officer may speed things up.

Rewards:
- More ammunition in military depositories.
- Specialized ammunition types that weren't widely available before."
Ammunition Factory I Rewards,"The task was completed successfully.

88mm HE ammunition production increases.
88mm AA ammunition is now available.
88mm SS ammunition is now available."
Raise Officer Limit to 5,Specialized Crew I
Raise Officer Limit to 5 Description,Increases officers limit on board to 6.
Raise Officer Limit to 6,Specialized Crew II
Raise Officer Limit to 6 Description,Increases officers limit on board to 7.
Free Roam,Free Roam
Free Roam Description,Having this right would allow us to leave ports without any assignments from the Headquarters.
HQ Influences,Headquarters Influences I
HQ Influences Description,Opens up possibility to send officers on missions in Headquarters.
HQ Influences Lvl 2,Headquarters Influences II
HQ Influences Lvl 2 Description,Allows to run two missions in Headquarters simultaneously.
Equipment Production I,Equipment Production I
Equipment Production I Description,"We should sign contracts with private companies inside the Reich to raise our production capacity of basic equipment for our u-boats.

Rewards:
- More replacement parts and medkits in ports.
- Potassium absorbers will become available."
Torpedo Pistol - Pi1.1,Improved torpedo pistols
Torpedo Pistol - Pi1.1 Description,"Our current pistol design turned out to be faulty and we must prioritize fixing it above other things. Pistols with magnetic (MZ) setting often tend to explode on their own before reaching the target, while impact (AZ) setting works correctly only close to the right angle.

There are many theories why things are this way and different branches shift responsibility to one another. Presence of experienced engineer from one of our u-boats would help to move things forward and potentially find some solutions."
G7e Torpedo T3 - Pi2,G7e Torpedo (T3)
G7e Torpedo T3 - Pi2 Description,"Our current G7e T2 electric torpedoes have some technical limitations that noticeably limit their use like a low range, speed and despite our earlier efforts there are still many pistol issues left, especially with the magnetic (MZ) setting.

Our engineers already work on improved design - G7e T3. These torpedoes at current prototype stages bear a promise to fix all aforementioned issues of T2 torpedoes."
Torpedo Control Program - FAT,Torpedo control program - FAT
Torpedo Control Program - FAT Description,"A novel idea appeared to enhance our existing torpedo designs with a control mechanism that would steer the torpedo to follow a specific pattern in case of a miss. The proposed pattern would increase the probability of scoring a hit, if torpedo would be fired inside a convoy."
Torpedo Control Program - LUT,Torpedo control program - LUT
Torpedo Control Program - LUT Description,"We consider our FAT torpedo programs to be a great success, although it's time to upgrade it further. The main drawback of FAT program is that it assumes a very specific firing angle for the u-boat for optimal run.

There is a new idea of upgrading it with additional setting that would make the pattern independent from the initial firing angle."
"G7es ""Zaunk?nig"" Torpedo (T5)","G7es ""Zaunk?nig"" Torpedo (T5)"
"G7es ""Zaunk?nig"" Torpedo (T5) Description","Our engineers are designing a new type of torpedo - T5. These new torpedoes are acoustically homing at nearby targets, turning many missed shots into perfect hits. It's a complicated design though and experienced engineer would definitely be helpful in addressing its remaining issues."
LocateDefenses Rewards,Reconaissance completed. Port defenses are now marked on the map.
Identify Defense - Scapa Flow,Aerial reconaissance
Identify Defense - Scapa Flow Description,We can send one of our officers to Luftwaffe to organize aerial reconaissance and recognize defense in the area.
Identify Defense - Cardiff,Aerial reconaissance
Identify Defense - Cardiff Description,We can send one of our officers to Luftwaffe to organize aerial reconaissance and recognize defense in the area.
Research Sonar Decoys,Sonar decoys
Research Sonar Decoys Description,"Advancing sonar technologies became one of the greatest threats to the u-boats. Technically it should be easy to deceive them with simple, chemical devices."
Milk Cow I,Milk Cow
Milk Cow I Description,We can assign one of our leaders to convince the admiralty that this milk cow will be more useful in a different area.
Milk Cow II,Milk Cow
Milk Cow II Description,We can assign one of our leaders to convince the admiralty that this milk cow will be more useful in a different area.
Milk Cow III,Milk Cow
Milk Cow III Description,We can assign one of our leaders to convince  the admiralty that this milk cow will be more useful in a different area.
Milk Cow IV,Milk Cow
Milk Cow IV Description,We can assign one of our leaders to convince the admiralty that this milk cow will be more useful in a different area.
Milk Cow V,Milk Cow
Milk Cow V Description,We can assign one of our leaders to convince the admiralty that this milk cow will be more useful in a different area.
Milk Cow VI,Milk Cow
Milk Cow VI Description,We can assign one of our leaders to convince the admiralty that this milk cow will be more useful in a different area.
Milk Cow VII,Milk Cow
Milk Cow VII Description,We can assign one of our leaders to convince the admiralty that this milk cow will be more useful in a different area.
Milk Cow VIII,Milk Cow
Milk Cow VIII Description,We can assign one of our leaders to convince the admiralty that this milk cow will be more useful in a different area.
Milk Cow IX,Milk Cow
Milk Cow IX Description,We can assign one of our leaders to convince the admiralty that this milk cow will be more useful in a different area.
Milk Cow X,Milk Cow
Milk Cow X Description,We can assign one of our leaders to convince the admiralty that this milk cow will be more useful in a different area.
MoveUnitAreaOfOperation Rewards,"The Admiralty positively responded to our request and directed the ""Milk Cow"" to the new square. This will improve our capabilities to resupply and refuel on the sea when we will be near this area."
