Key,English
Port of Lisbon,Port of Lisbon
Port of Lorient,Port of Lorient
Port of Rotterdam,Port of Rotterdam
Port of Vigo,Port of Vigo
Gibraltar Strait,Gibraltar Strait
Coastal Defense Patrol,Coastal defense patrol
Milk Cow,Milk Cow
North Labrador Weather Station Deployment,North Labrador Weather Station Deployment
Battle of the Atlantic II,The Black Pit
Weather Station Deployment North Labrador,Weather station: North Labrador
North Labrador Weather Station Deployment Patrol,North Labrador coastal defense patrol
Retrieve Enigma from Sunk Submarine,Enigma recovery
RAF St. Eval,RAF St. Eval
RCAF Yarmouth,RCAF Yarmouth
Operation Drumbeat,Operation Drumbeat
Arctic Convoys,Arctic convoys
Battle of the Mediterranean,Battle of the Mediterranean
Sink Warships on Anchor,Attack: Scapa Flow
Weather Station Deployment Bear Island,Weather station: Bear Island
Recover Gold From Sunk Ship,Gold retaking
Bear Island Weather Station Deployment,Bear Island Weather Station Deployment
Bear Island Weather Station Deployment Patrol,Bear Island coastal defense patrol
Join Battle of Arctic,Join Battle of Arctic
Join French Flotillas,Join French Flotillas
Pass Gibraltar,Passage through Gibraltar
U-boat Wreck,U-boat Wreck
Unknown Submarine,Unknown submarine
Unknown Ship,Unknown ship
Unknown Aircraft Carrier,Unknown aircraft carrier
Unknown Warship,Unknown warship
Unknown Aircraft,Unknown aircraft
Unknown Object,Unknown object
Unknown Destination,unknown destination port
Wilhelmshaven Port Description,"Kriegsmarinewerft Wilhelmshaven
In the shipyard, smaller warships and submarines are built, and repairs due to battle damage, conversions and maintenance are carried out.

Stationing: u-boat flotillas"
Danzig Port Description,"Kriegsmarinewerft

Stationing: u-boat flotillas"
Klaip?da Port Description,Large transport hub for for goods as well as a ship repair yard
Trondheim Port Description,"Strategically important base of the Kriegsmarine.

Stationing: u-boat flotillas"
Bergen Port Description,"Strategically important base of the Kriegsmarine. 

Stationing: u-boat flotillas"
Scapa Flow Port Description,"A very heavily secured British naval port.
Probably protected by nets and ground mines."
Leith Description,A large number of shipyards and a transhipment point for goods.
Port of Liverpool Description,"One of the largest and most important UK ports on the West Coast. 
The port is the main link between the UK and North America, the transatlantic SC- (Slow Convoy) and HX- (Halifax) convoys."
St-Nazaire Port Description,"One of the largest ports on the French Atlantic coast.
During the Western campaign, the German military reached Saint-Nazaire in June 1940. The port was used as one of the main bases for U-boat operations from September 1940.

Stationing: Stationing: u-boat flotillas"
La Rochelle Port Description,"With the conquest of northern France in June 1940, a submarine base was established in La Rochelle, also for the overhaul and refurbishment of submarines.

Stationing: u-boat flotillas"
Bordeaux Port Description,"After the capitulation of France in June 1940, another submarine base was established in Bordeaux. 
The 12th Flotilla stationed there specialised in supplying other submarines at sea with torpedoes, rations and fuel. "
Safi Port Description,
Port of Freetown Description,The port of Freetown acts as an important convoy station for the Allies.
Port of Boston Description,Internationally important for overseas trade and a transshipment centre for goods.
Halifax Harbour Description,"A very important port for  transatlantic routes vital to Allied war logistics.
The HX convoys probably started here."
Port of Sydney Description,The second most important port in Canada after Halifax and the starting point for many convoys aiding Britain in the war.
Port of Kiel Description,"Kriegsmarinewerft Kiel
Mainly submarines were built in the shipyard.Especially the type VIIC.

Stationing: u-boat flotillas"
Belfast Harbour Description,"One of the largest shipyards in the United Kingdom. In addition, many soldiers are shipped from here."
Portsmouth Port Description,The port is the Royal Navy's most important naval base. Ammunition and warships are manufactured and stationed here.
La Spezia Port Description,"La Spezia is an important naval base because of the French-Italian naval rivalry in the Mediterranean. It also serves as a submarine base for German submarines.

Stationing: u-boat flotillas"
Grand Harbour Description,"The island is one of the most important British naval bases in the Mediterranean and became a strategic target for the Axis powers after Italy entered the war.
The port is of central importance for disrupting supplies to the German and Italian troops in North Africa."
Port of New York and New Jersey Description,The port is the starting point for many supplies bound for the west coast of England and also towards the Mediterranean sea.
Port of Alexandria Description,Base of the British Mediterranean Fleet.
Port of Murmansk Description,Stationing of the Russian Northern Fleet.
Port of Arkhangelsk Description,"Important supply port for the North Sea convoys, through which the US supplies war materials and foodstuffs to the Soviet Union in accordance with the Lend-Lease Act."
Port of Buenos Aires Description,"Major transshipment centre for goods to and from Argentina.
Argentina sympathises with the Axis powers but is officially neutral."
Port of Gibraltar Description,"The Key to the Mediterranean
Under the sovereignty of Great Britain. 
As a strategic command centre, Gibraltar has a strongly defended port from which ships can operate in both the Atlantic and the Mediterranean."
Port of Lisbon Description,Neutral trading port on the Tejo Bay. Intelligence services from both sides are believed to be based here.
Port of Lorient Description,"Immediately after the French defeat, the German commander of the Kreigsmarine, Rear Admiral D?nitz, visited the port of Lorient. As a result, the harbour was developed into one of the largest known U-boat bases 

Stationing: u-boat flotillas"
Port of Rotterdam Description,"After the attack on Rotterdam, the ""Rotterdam Blitz"" the port was taken over by the Kriegsmarine.

Stationing: u-boat flotilla (outpost flotilla)"
Port of Vigo Description,German U-boat supply base in Spain. Spain is neutral but is positive about the German presence. The supply bases are mostly merchant ships.
Lyness Naval Base Description,Military base of the Royal Navy of significant importance.
Port of Aruba Description,The island of Aruba is one of the world's largest oil refineries for the Allies.
RCAF Yarmouth Description,"Royal Air Force training base.
In addition to the Naval Air Gunnery School, several individual squadrons and units are based at RCAF Yarmouth."
Cardiff Docks Description,The main coal exporting port in England.
RAF St. Eval Description,"Royal Air Force St. Eval is a strategic base for Coastal Command.
St Eval's main task is to enable anti-submarine and anti-shipping patrols off the south west coast."
RAF Gibraltar Description,An important naval base of the British Royal Navy's Fleet Air Arm.
RAF Freetown Description,Base of the British Royal West African Frontier Force.
RAF Dundee Description,British Royal Navy airbase in the Scottish Highlands.
Kindley Air Force Base,Kindley Air Force Base
Kindley Air Force Base Description,Air base of both the Royal Air Force and US Army Air Force. Mainly sea-planes are operated from this base.
Port of Aruba,Port of Aruba
Resupply Ship Marker,Supply ship
Weather Station Deployment Area,Weather station deployment area
,
G7a Torpedo T1 - Pi1,G7a torpedo T1 - Pi1
G7a Torpedo T1 - Pi1.1,G7a torpedo T1 - Pi1/v2
G7a Torpedo T1 - Pi3,G7a torpedo T1 - Pi3
G7a Torpedo T1 - Pi3 - FAT,G7a torpedo T1 - Pi3 - FAT
G7a Torpedo T1 - Pi3 - LUT,G7a torpedo T1 - Pi3 - LUT
G7e Torpedo T2 - Pi1,G7e torpedo T2 - Pi1
G7e Torpedo T2 - Pi1.1,G7e torpedo T2 - Pi1/v2
G7e Torpedo T3 - Pi2,G7e torpedo T3 - Pi2
G7e Torpedo T3 - Pi2 - FAT,G7e torpedo T3 - Pi2 - FAT
G7e Torpedo T3 - Pi2 - LUT,G7e torpedo T3 - Pi2 - LUT
G7e Torpedo T3 - Pi2 - Prototype,G7e torpedo T3 prototype - Pi2
G7es Zaunk?nig Torpedo T5 - Pi4,"G7es ""Zaunk?nig"" torpedo T5 - Pi4"
G7es Zaunk?nig Torpedo T5 - Pi4 - Prototype,"G7es ""Zaunk?nig"" torpedo T5 prototype - Pi4"
G7a Torpedo T1 - Pi1 (Warmed),G7a torpedo T1 - Pi1
G7a Torpedo T1 - Pi1.1 (Warmed),G7a torpedo T1 - Pi1/v2
G7a Torpedo T1 - Pi3 (Warmed),G7a torpedo T1 - Pi3
G7a Torpedo T1 - Pi3 - FAT (Warmed),G7a torpedo T1 - Pi3 - FAT
G7a Torpedo T1 - Pi3 - LUT (Warmed),G7a torpedo T1 - Pi3 - LUT
G7e Torpedo T2 - Pi1 (Warmed),G7e torpedo T2 - Pi1
G7e Torpedo T2 - Pi1.1 (Warmed),G7e torpedo T2 - Pi1/v2
G7e Torpedo T3 - Pi2 (Warmed),G7e torpedo T3 - Pi2
G7e Torpedo T3 - Pi2 - FAT (Warmed),G7e torpedo T3 - Pi2 - FAT
G7e Torpedo T3 - Pi2 - LUT (Warmed),G7e torpedo T3 - Pi2 - LUT
G7e Torpedo T3 - Pi2 - Prototype (Warmed),G7e torpedo T3 prototype - Pi2
G7es Zaunk?nig Torpedo T5 - Pi4 (Warmed),"G7es ""Zaunk?nig"" torpedo T5 - Pi4"
G7es Zaunk?nig Torpedo T5 - Pi4 - Prototype (Warmed),"G7es ""Zaunk?nig"" torpedo T5 prototype - Pi4"
Enumeration - Merchant Ship,1 merchant ship
Enumeration - Merchant Ships,{0} merchant ships
Enumeration - Steamer,1 steamer
Enumeration - Steamers,{0} steamers
Enumeration - Destroyer,1 destroyer
Enumeration - Destroyers,{0} destroyers
Enumeration - Corvette,1 corvette
Enumeration - Corvettes,{0} corvettes
Enumeration - Fast Attack Craft,1 fast attack craft
Enumeration - Fast Attack Crafts,{0} fast attack crafts
Enumeration - Escorts,{0} escorts
Enumeration - Cruiser,1 cruiser
Enumeration - Cruisers,{0} cruisers
Enumeration - Escort Carrier,1 escort carrier
Enumeration - Escort Carriers,{0} escort carriers
Enumeration - Capital Ship,1 capital ship
Enumeration - Capital Ships,{0} capital ships
