Key,English
Transport Encounter Escaped 1,"Single merchant spotted in a naval square {0}, {7} speed, {5} course, zig-zagging, three-fan miss. One tube runner. Didn't pursue due to equipment issue."
Transport Encounter Escaped 2,"Single steamer in a naval square {0}, speed {2}, course {1:0}°. Two duds, one miss, couldn't continue attack."
Transport Encounter Escaped 3,"On my way back to the base, heard single propeller from a naval square {0}, most likely merchant, {7} speed, {5} course."
Transport Encounter Escaped 4,"Lone steamer smoke cloud spotted somewhere in a naval square {0}. {6} speed, {5} course. Pursing other target."
Transport Encounter Escaped 5,"Smoke cloud spotted in a naval square {0} during surface repairs after last depth charge attack. {6} speed, {5} course."
Transport Encounter Escaped 6,"Merchant ship heard in a naval square {0} or near. Hydrophone operator reports {7} speed, {5} course. Carrying on with other orders."
Transport Encounter Escaped 7,Single merchant ship's propeller heard in a naval square {0}. Estimated {7} speed and {5} course. We are currently carrying out other orders. Good luck.
Transport Encounter Escaped 8,"One ship, likely merchant, in a naval square {0}, approximate course {1:0}°, {7} speed."
Transport Encounter Escaped 8,"Steamer, naval square {0}, course {1:0}°, {7} speed."
Transport Encounter Escaped 9,"Freighter in a naval square {0}, {5} course, {7} speed. Can't intercept."
Ship.Title,"{0}, {1}"
Ship,"{0}, {1}"
LostShipMission/Coordinates,Lost ship found at coordinates {0}.
LostShipMission/Explosive,Ship has been badly hit by enemy aircraft and may explode any minute. Crew left it a few hours ago.
LostShipMission/AbandonedForUnknownReasons,"The ship has been hit by aerial bombs, but is still fully functional and evacuation seems to be a bad call of its captain."
LostShipMission/Trap,The ship has been repeatedly hit by enemy artillery fire. It's hard to tell why it wasn't sunk by the attacker.
LostShipMission/BatteriesFailure.Title,We discovered what happened with the lost ship
LostShipMission/BatteriesFailure,{0} has triggered a mine that caused flooding leak.  The batteries were flooded and chlorine gas was released. No survivors.
Explosion Rumble.Title,Explosion spotted on the horizon
Explosion Rumble,"A flash of light was seen, followed by a bang at {0}."
Destination Reached,Reached destination {0}.
Destroyed.Title,{0} sunk
Destroyed,{0} sunk.
DestroyedBy.Title,{0} sunk
DestroyedBy,{0} was sunk by {1}.
DestroyedByMyself.Title,{0} sunk!
DestroyedByMyself,We sunk {0}.
AircraftDestroyedByMyself.Title,{0} shot down!
AircraftDestroyedByMyself,We shot down {0}.
AircraftDestroyed.Title,{0} shot down!
AircraftDestroyed,{0} shot down.
AircraftDestroyedBy,{0} shot down by {1}.
Group Hydrophone.Title,Propeller noise detected!
Group Hydrophone,Propellers heard at {1}.
Group Indirect.Title,{0} spotted!
Group Indirect,{0} spotted at coordinates {1}.
Group Indirect Convoy.Title,Funnel smoke spotted!
Group Indirect Convoy,Funnel smoke spotted at coordinates {1}.
Group Radar.Title,Radar contact
Group Radar,Group picked on the radar at {1}.
Group Radar Detector.Title,Radar detector contact
Group Radar Detector,Radar waves detected at coordinates {1}.
SSS Contact,SSS SSS {0} {1} under attack
Submarine Spotted,{1} submarine spotted at {0}
SSS Torpedoed,SSS SSS {0} {1} torpedoed
Message Encrypted,(this message seems to be encrypted)
Smoke Column,Massive smoke column spotted at {0}
Tutorial 01.Title,Training mission #{0:00}: Resupply
Tutorial 02.Title,Training mission #{0:00}: Travel and Diving
Tutorial 03.Title,Training mission #{0:00}: Torpedo Attack
Tutorial 04.Title,Training mission #{0:00}: Patrol
Tutorial 05.Title,Training mission #{0:00}: Recruitment
Tutorial 06.Title,Training mission #{0:00}: Ship upgrades
Tutorial 07.Title,Training mission #{0:00}: Headquarters
Tutorial 04.SOS,SOS SOS {0} attacked by aircraft. Sustained heavy damage. Position {1}.
Standby Report,Standby Log
Weather Station Deployment Area,Weather station deployment area
WeatherStationAssignment.Title,Mission #{0:00}: Weather Station
Weather Station Test.Title,Weather Station
Weather Station Test,"Decoded message:
Temperature {0:0} C. Wind speed {1:0} knots."
Resupply Impossible,There are no resupply ships in your vincinity. Move back to the base.
Resupply Coordinates,"Resupply is currently possible at {0}. Rendezvous coordinates {1}. Supply ship will wait there for {2}.

<b>Coordinates added on the map.</b>"
Nearest Square,Nearest resupply opportunity is possible at {0} square. Please move to this area and send a request again to receive rendezvous coordinates from us.
InspectionFinished.Title,Inspected a merchant ship.
InspectionFinished,We performed a full inspection of another vessel.
InspectionFinishedKnownIdentity.Title,"Inspected ""{2}"" ship."
InspectionFinishedKnownIdentity,"We performed a full inspection of ""{2}"" merchant ship at {1}."
Panic prevention,Thanks to officer {0} there was no panic.
News - USA Declares War.Title,United States Congress declares war upon Germany
News - USA Declares War,Declaration happened hours after Germany first declared war on the United States after the attack on Pearl Harbor by the Empire of Japan. The vote was 88?0 in the Senate and 393?0 in the House.
Message - Barbarossa.Title,Germany declares war on Russia
Message - Barbarossa,"The correspondents report that attack started by land, sea and air."
Message - USA Declares War on Japan.Title,War between Japan and the U.S.A.
Message - USA Declares War on Japan,Since 7 December evening there is a state of war between Japan and the U.S.A.
Message - Germany Declares War on USA.Title,The lifting of all restrictions regarding U.S.A. ships
Message - Germany Declares War on USA,"The lifting of all restrictions regarding U.S.A. ships and the so-called Pan-American safety zone has been ordered by the high command. Therefore, the whole area of the American coasts will become open for operations by U-boats, an area in which the assembly of ships takes place in single traffic at the few points of departure of Atlantic convoys.

There is an opportunity here, therefore, of intercepting enemy merchant ships under conditions which have ceased almost completely for some time. Attempts must be made to utilize as quickly as possible these advantages, which will disappear very shortly, and to achieve a ""spectacular success"" on the American coast.

The following come into question as the main points of attack for such U-boat operations:
 	 	 	
 	Sydney Roads	2,200 miles
 	Halifax	2,400 miles
 	Bermudas	3,000 miles
 	New York	3,000 miles
 	Galveston	4,600 miles
 	Aruba	4,000 miles
 	Trinidad	3,600 miles (approach point for single traffic coming from South and bunkering station)."
Message - Laconia Order.Title,Laconia Order
Message - Laconia Order,"Despite large Red Cross flag U 156 was bombed five times by an American ""Liberator"" type plane while towing 4 full life boats. Both periscopes temporarily out of order. Submarine stopped rescue work and transferred all survivors to the boats.  She was ordered to render no further assistance in any rescue attempts.

Once again all submarines have been told that the safety of our own boats must not be endangered in any circumstances. If necessary, take any steps, even breaking off all rescue work. As shown by the report from U 156, the Commanding Officer did not believe that the enemy would attack when he saw the Red Cross flag and the rescue attempts. This opinion is hard to understand. It must be assumed that he was influenced by seeing hundreds of survivors fighting for their lives.

Orders dealing with bringing captains and chief engineers back remain unchanged."
Message - Italy Surrenders.Title,Italy Surrenders
Message - Italy Surrenders,"The unconditional surrender of the Italian Armed Forces has set in motion the measures to be taken against Italy. The Command Station is ready to take over the immediate operational control of the Mediterranean boats.

At 2150 a radio message was received from F.d.U. Italy (Senior Officer Submarines, Italy):
 	""B.d.U. Please take over operational control"".

 Control was taken over."
Message - Rainbow.Title,Rainbow order
Message - Rainbow,All ships and submarines of the Kriegsmarine not suitable for fishing or mine-clearing have to be sunk in order not to have to hand them over to the enemy.
Message - Donitz Takes Command.Title,Gro?admiral D?nitz takes command
Message - Donitz Takes Command,On the 30th of April the F?hrer has fallen with his soldiers in the heroic battle for Germany in Berlin. Grand Admiral D?nitz takes over the political leadership and the supreme command of the German troops. The battle of our people goes on.
Message - Surrender.Title,Message from the Grand Admiral
Message - Surrender,"My submarine men!

Six years of submarine warfare are behind us. You fought like lions. An overwhelming superiority has pushed us together in a very small space. It is no longer possible to continue the fight from the remaining base.

Submarine men! Unbroken and flawless, you lay down your arms after an unparalleled heroic battle. We remember with awe our fallen comrades who sealed their loyalty to the Fatherland with their death.

Comrades! Keep your brave submarine spirit, with which you have fought valiantly and undeterred for many years, also in the future for the good of our fatherland. Long live Germany!

Your Grand Admiral."
Message - Surrender Final.Title,Surrender
Message - Surrender Final,"All waves, Hubertus, North Sea.
Repeat every two hours.
To all boats. An unconditional surrender have come into terms. The following instruction from the representatives of the Allies must be followed immediately:
From now on only march surfaced.
Set a large black or blue flag.
Throw all ammunition outboard.
The ban on scuttling issued by the Allies or damage to a boat must be followed.
Your standing order is to surrender to the nearest Allied warships or at the nearest port."
News - Barbarossa.Title,Invasion of the Soviet Union
News - Barbarossa,"The correspondents report that attack started by land, sea and air."
OilInstallationsAttackAssignment.Title,Mission #{0:00}: Attack on Aruba
EnigmaRecoveryAssignment.Title,Mission #{0:00}: Enigma recovery
SearchWreckAssignment.Title,Mission #{0:00}: Search wreck 
WeatherStationDeploymentAssignment.Title,Mission #{0:00}: Weather station
PassGibraltarAssignment.Title,Mission #{0:00}: Passage through Gibraltar
SinkAnchoredBattleshipAssignment.Title,Mission #{0:00}: Sink Warships on Anchor
Tutorial 01.Message,The crew of {1} received training in the basics of preparing a boat for a long range travel.
Tutorial 02.Message,"The crew of  {1} underwent a training mission during which they were trained in traveling, navigation and the basics of submarine diving."
Tutorial 03.Message,The crew of  {1} underwent a training mission during which they were trained how to perform a successful torpedo attack.
Tutorial 04.Message,The crew of {1} underwent a training mission to practice a first real-world patrol on the sea. They trained patrolling marked area and crisis management.
Tutorial 05.Message,"Training was given on how to prepare the crew on your u-boat for the challenges ahead. E.g. Sailor and officer recruitment, promotions, keeping officers in a reserve."
Tutorial 06.Message,This training explained how to upgrade your boat. 
Tutorial 07.Message,Training was given on how to assign your officers to help with ongoing research and other tasks in Kriegsmarine headquarters.
Radio Messages From,Radio messages from: {0}
EnigmaRecoveryAssignment.IntroMessage,"{1} was sunk north of Ireland by the enemy. There is a possibility that Enigma will fall into enemy hands. Skipper, we decided to send your u-boat with a bold mission that will prevent this from happening. Your order is to find the wreck of {1}, send a diver and recover the Enigma machine."
PassGibraltarAssignment.IntroMessage,"After consideration, we decided to assign this u-boat to one of the flotillas operating on Mediterranean Sea. Your order is to pass through the heavily guarded Gibraltar strait and report to your leading officer in La Spezia."
SearchWreckAssignment.IntroMessage,"A cargo ship transporting vital cargo was sunk on the way from North Africa to Corsica. We want that cargo to be recovered. Our intel tells that it could be sunk at the following coordinates: {1}.

Skipper, your order is to locate that wreck, send a diver and recover the cargo. We shall remind you that everything involving this mission is a top secret."
Attack on Aruba.IntroMessage,"Skipper, we send you on a bold mission to a distant island of Aruba.Our Intel tells that the enemy has weak defences on the island, despite that there is located one of the largest enemy oil refineries. Your order is to destroy at least three oil tanks in Port of Aruba using the deck gun installed on your ship. "
Weather Station Deployment Bear Island.IntroMessage,Your order is to deploy a weather station on Bear Island.
Weather Station Deployment North Labrador.IntroMessage,Your order is to deploy a weather station in North Labrador.
EscortDutyAssignment.Title,Mission #{0:00}: Escort duty
EscortDutyAssignment.MissionFinished.Title,Escort duty complete
EscortDutyAssignment.MissionFinished,We've completed to escort the troopships and will head back to the base.
EscortDutyAssignment.UnderAttack.Title,Convoy under attack!
EscortDutyAssignment.UnderAttack,SOS SOS We are under attack by the enemy warships. We are calling for assistance.
EscortDutyAssignment.IntroMessage,"Our convoy departed towards {1}. Skipper, it will be escorted by destroyers, but due to urgency we decided to assign your u-boat to provide them with assistance. Use hydrophones on your boat to early and quickly locate incoming dangers before they reach the convoy. It's vital that this convoy arrives intact to its destination."
EscortDutyAssignment.LeaveArea,"Skipper, it came to our attention that your u-boat is travelling along with the escorted convoy for some time. Please gain some distance from it. The noise in convoy's vincinity will reduce hydrophone's effectiveness.

Remember, that destroyers are here to protect the troopship in case of an unexpected attack. Your main objective is to detect incoming dangers and eliminate them before they have a chance to get close.

Good luck."


















































































































































































































































































































































































































































































































































































































































































































































































































































