Key,English
Spanish Speaker,Spanish Speaker
Spanish Speaker Description,This officer can communicate fluently in Spanish. It may be useful during offship missions.
Portuguese Speaker,Portuguese Speaker
Portuguese Speaker Description,This officer can communicate fluently in Portuguese. It may be useful during offship missions.
French Speaker,French Speaker
French Speaker Description,This officer can communicate fluently in French. It may be useful during offship missions.
DiverSkill,Diver
DiverSkill Description,"This officer was trained in the use of diving suits and performs all tasks 50% faster while diving to sunk wrecks. He can also survive for longer, if he looses a steady supply of air while diving."
Linguist,Linguist
Linguist Description,This officer may communicate fluently in most languages. It may be useful during off-boat missions.
Propeller Recognition,Propeller Recognition
Propeller Recognition Description,"The officer can crudely estimate velocity and type of targets using the hydrophone. In addition, in manual mode, an exact angle is displayed for the selected direction."
Inspections,Inspections
Inspections Description,This engineer is able to carry out inspections of equipment on board to prevent random malfunctions from occurring during combat situations.
Thorough,Thorough
Thorough Description,"The officer carefully carries out maintenance of torpedoes, completely eliminating the risk of a detonator failure and extending the time for which they remain maintained by 25%."
Navigator,Navigator
Navigator Description,"This officer is able to perform navigation tasks exceptionally well. For this reason, he may rise navigation quality level to 150% instead of 100%. Using this knowledge he can also put in question the course of boarded freighters considering their claimed target port in the shipping documents."
